"","q7a","q7b","q7c","q7d","q7e","q7f","q7g","q7h","q7i","q7j","q7k"
"104605",2,3,2,1,2,3,4,3,2,3,3
"104606",2,2,2,2,2,2,2,1,1,2,2
"104607",1,2,2,2,2,3,2,2,2,3,3
"104608",1,1,1,1,2,2,2,2,1,3,2
"104609",1,2,1,1,2,2,3,2,2,2,2
"104610",2,1,1,1,2,2,2,2,2,3,2
"304101",2,1,2,2,2,3,1,1,3,3,3
"304102",2,2,2,3,2,2,1,1,2,4,4
"304103",2,1,4,3,4,4,1,1,4,4,4
"304104",2,1,2,2,3,3,3,2,2,3,2
"304105",2,2,1,1,1,3,2,1,1,3,3
"304106",2,1,1,1,1,2,2,2,3,3,3
"304107",2,1,2,2,2,2,1,1,2,3,3
"304108",1,1,2,2,2,3,1,1,2,4,4
"304109",1,1,1,1,1,1,3,2,2,3,4
"304301",2,3,1,1,2,4,1,2,1,4,4
"304302",1,1,2,2,2,3,3,1,2,4,4
"304303",2,3,1,1,2,3,2,1,2,4,3
"304304",2,2,4,4,2,1,1,1,1,4,3
"304305",1,2,1,2,2,3,2,1,3,3,3
"304306",3,1,3,1,1,3,3,3,3,3,3
"304307",1,1,2,1,1,2,1,1,1,3,3
"304401",3,1,1,1,2,2,3,2,2,3,1
"304402",2,2,2,2,3,3,1,1,2,4,3
"304403",2,2,1,1,1,2,2,2,1,3,2
"304404",1,2,2,1,1,1,2,1,4,2,2
"304405",1,1,2,2,2,4,3,1,2,4,4
"304406",2,1,2,3,1,2,1,1,3,4,3
"304407",2,1,3,3,2,4,2,2,3,4,3
"304408",2,2,3,3,1,3,1,1,3,4,4
"304409",1,1,1,1,1,2,3,1,3,1,1
"304410",3,2,1,1,1,2,2,1,1,3,3
"304411",2,1,2,2,3,3,2,1,1,3,3
"304501",2,2,1,2,1,3,2,3,2,2,2
"304502",2,1,1,1,2,3,1,1,3,1,2
"304503",2,1,1,1,1,1,2,1,1,2,2
